107,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Amber Awaits" (Chan and Tad Kinchla, Popper) – 3:47","Track listing"
108,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""After What" (Popper, Wilson) – 3:34","Track listing"
109,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Money Back Guarantee" (Popper, Wilson) – 3:48","Track listing"
110,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Can't Win True Love" (Popper) – 4:57","Track listing"
111,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Nail" (Popper, Wilson) – 3:06","Track listing"
112,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Leaning In" (Popper, Wilson) – 3:48","Track listing"
113,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""She and I" (Tad Kinchla, Popper) – 4:51","Track listing"
114,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Rubberneck" (Tad Kinchla, Popper) – 3:11","Track listing"
115,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""Nefertiti" (Tad Kinchla, Popper) – 4:15","Track listing"
116,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""What Could Possibly Go Wrong" (Chan Kinchla, Popper) – 2:47","Track listing"
117,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""That Which Doesn't Kill You" (Chan Kinchla, Popper) – 4:12","Track listing"
118,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""She Isn't Mine" (Popper) – 3:18","Track listing"
119,https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,""The Children of the Night" (Brendan Hill, Popper) – 6:31","Track listing"
120,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,"[Radio version] – 3:45","European 2-track CD single"
121,https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,""A*Teens Medley" [Pierre J's Radio Mix] – 3:54","European 2-track CD single"
